add-none,1,100,200,145705,728,0
add-none,1,1000,2000,156706,78,0
add-none,1,10000,20000,260710,13,0
add-none,1,100000,200000,1180344,5,0
add-none,2,100,400,152206,380,0
add-none,2,1000,4000,172307,43,0
add-none,2,10000,40000,530121,13,3594
add-none,2,100000,400000,4151357,10,4130
add-none,3,100,600,257710,429,0
add-none,3,1000,6000,204808,34,0
add-none,3,10000,60000,755429,12,1232
add-none,3,100000,600000,6761956,11,-21499
add-none,4,100,800,266110,332,0
add-none,4,1000,8000,260909,32,0
add-none,4,10000,80000,1015338,12,5529
add-none,4,100000,800000,8979441,11,1922
add-none,5,100,1000,333313,333,0
add-none,5,1000,10000,365014,36,0
add-none,5,10000,100000,1170744,11,-1058
add-none,5,100000,1000000,10654404,10,-16279
add-none,6,100,1200,376014,313,0
add-none,6,1000,12000,465818,38,0
add-none,6,10000,120000,1436655,11,4564
add-none,6,100000,1200000,13450410,11,-38616
add-none,7,100,1400,448617,320,0
add-none,7,1000,14000,487019,34,-537
add-none,7,10000,140000,1678564,11,5836
add-none,7,100000,1400000,15519789,11,-74841
add-none,8,100,1600,501319,313,0
add-none,8,1000,16000,520320,32,0
add-none,8,10000,160000,2013976,12,9720
add-none,8,100000,1600000,18459500,11,-29012
add-none,9,100,1800,509620,283,0
add-none,9,1000,18000,583322,32,0
add-none,9,10000,180000,2138481,11,9227
add-none,9,100000,1800000,19977357,11,7583
add-none,10,100,2000,581722,290,0
add-none,10,1000,20000,782729,39,0
add-none,10,10000,200000,2682702,13,3169
add-none,10,100000,2000000,22163141,11,3177
add-none,11,100,2200,589122,267,0
add-none,11,1000,22000,795430,36,0
add-none,11,10000,220000,2715603,12,4905
add-none,11,100000,2200000,25702575,11,-76191
add-none,12,100,2400,684226,285,0
add-none,12,1000,24000,761729,31,0
add-none,12,10000,240000,2922511,12,14421
add-none,12,100000,2400000,27423740,11,-31071
add-none,13,100,2600,676126,260,0
add-none,13,1000,26000,868533,33,0
add-none,13,10000,260000,3008414,11,11452
add-none,13,100000,2600000,28625086,11,-9265
add-none,14,100,2800,868333,310,0
add-none,14,1000,28000,1036639,37,0
add-none,14,10000,280000,3248823,11,18585
add-none,14,100000,2800000,30716665,10,-160345
add-none,15,100,3000,750128,250,0
add-none,15,1000,30000,1055040,35,0
add-none,15,10000,300000,3667940,12,245
add-none,15,100000,3000000,34875223,11,-58810
add-yield-none,2,10,40,162206,4055,0
add-yield-none,2,20,80,177006,2212,19
add-yield-none,2,40,160,212808,1330,20
add-yield-none,2,80,320,294811,921,15
add-yield-none,2,100,400,366114,915,15
add-yield-none,2,1000,4000,2041377,510,21
